        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.05000000e+01,        +2.885240313152e-11,        +2.900509881684e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.06000000e+01,        +2.885563551026e-11,        +2.899259828687e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.07000000e+01,        +2.885910950290e-11,        +2.898010417027e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.08000000e+01,        +2.886277953910e-11,        +2.896765963979e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.09000000e+01,        +2.886659925788e-11,        +2.895530751840e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+01,        +2.887052175024e-11,        +2.894309005159e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.11000000e+01,        +2.887449980596e-11,        +2.893104868504e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+01,        +2.887848616305e-11,        +2.891922384880e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.13000000e+01,        +2.888243375862e-11,        +2.890765474878e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.14000000e+01,        +2.888629597908e-11,        +2.889637916605e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.15000000e+01,        +2.889002690806e-11,        +2.888543326430e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.16000000e+01,        +2.889358156989e-11,        +2.887485140579e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.17000000e+01,        +2.889691616706e-11,        +2.886466597627e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.18000000e+01,        +2.889998831042e-11,        +2.885490721970e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.19000000e+01,        +2.890275724074e-11,        +2.884560308381e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+01,        +2.890518404140e-11,        +2.883677907784e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.21000000e+01,        +2.890723184123e-11,        +2.882845814376e-11,        +0.000000000000e+00,        +0.000000000000e+00
