        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 5.90000000e+00,        +1.414213562373e-01,        +1.406967504801e-01,        +3.393466468236e-04,        -8.173051937703e-02,        -1.133480132050e-01
 6.00000000e+00,        +1.414213562373e-01,        +1.406314667804e-01,        +4.325730309293e-04,        -8.586766964783e-02,        -1.102091221469e-01
 6.10000000e+00,        +1.414213562373e-01,        +1.405715236833e-01,        +5.316347776046e-04,        -8.988422225918e-02,        -1.069192783270e-01
 6.20000000e+00,        +1.414213562373e-01,        +1.405174262917e-01,        +6.361525940302e-04,        -9.377466900856e-02,        -1.034831245234e-01
 6.30000000e+00,        +1.414213562373e-01,        +1.404696521323e-01,        +7.457044013485e-04,        -9.753368162929e-02,        -9.990550515953e-02
 6.40000000e+00,        +1.414213562373e-01,        +1.404286475884e-01,        +8.598273795125e-04,        -1.011561192841e-01,        -9.619145919340e-02
 6.50000000e+00,        +1.414213562373e-01,        +1.403948244884e-01,        +9.780203068245e-04,        -1.046370357632e-01,        -9.234621271319e-02
 6.60000000e+00,        +1.414213562373e-01,        +1.403685568731e-01,        +1.099746182047e-03,        -1.079716863732e-01,        -8.837517125396e-02
 6.70000000e+00,        +1.414213562373e-01,        +1.403501779656e-01,        +1.224435114974e-03,        -1.111555345048e-01,        -8.428391184907e-02
 6.80000000e+00,        +1.414213562373e-01,        +1.403399773662e-01,        +1.351487469445e-03,        -1.141842578675e-01,        -8.007817483208e-02
 6.90000000e+00,        +1.414213562373e-01,        +1.403381984928e-01,        +1.480277240955e-03,        -1.170537543807e-01,        -7.576385540506e-02
 7.00000000e+00,        +1.414213562373e-01,        +1.403450362855e-01,        +1.610155649334e-03,        -1.197601477102e-01,        -7.134699498990e-02
 7.10000000e+00,        +1.414213562373e-01,        +1.403606351947e-01,        +1.740454925376e-03,        -1.222997924437e-01,        -6.683377237986e-02
 7.20000000e+00,        +1.414213562373e-01,        +1.403850874674e-01,        +1.870492268852e-03,        -1.246692788954e-01,        -6.223049470899e-02
 7.30000000e+00,        +1.414213562373e-01,        +1.404184317461e-01,        +1.999573954060e-03,        -1.268654375343e-01,        -5.754358825739e-02
 7.40000000e+00,        +1.414213562373e-01,        +1.404606519934e-01,        +2.126999557893e-03,        -1.288853430302e-01,        -5.277958911074e-02
 7.50000000e+00,        +1.414213562373e-01,        +1.405116767514e-01,        +2.252066284455e-03,        -1.307263179141e-01,        -4.794513369246e-02
 7.60000000e+00,        +1.414213562373e-01,        +1.405713787446e-01,        +2.374073359425e-03,        -1.323859358485e-01,        -4.304694918709e-02
 7.70000000e+00,        +1.414213562373e-01,        +1.406395748324e-01,        +2.492326466722e-03,        -1.338620245071e-01,        -3.809184387353e-02
 7.80000000e+00,        +1.414213562373e-01,        +1.407160263148e-01,        +2.606142199594e-03,        -1.351526680619e-01,        -3.308669738646e-02
 7.90000000e+00,        +1.414213562373e-01,        +1.408004395921e-01,        +2.714852497936e-03,        -1.362562092793e-01,        -2.803845092426e-02
 8.00000000e+00,        +1.414213562373e-01,        +1.408924671792e-01,        +2.817809043586e-03,        -1.371712512257e-01,        -2.295409742121e-02
 8.10000000e+00,        +1.414213562373e-01,        +1.409917090700e-01,        +2.914387585403e-03,        -1.378966585855e-01,        -1.784067170167e-02
 8.20000000e+00,        +1.414213562373e-01,        +1.410977144484e-01,        +3.003992166203e-03,        -1.384315585954e-01,        -1.270524063298e-02
 8.30000000e+00,        +1.414213562373e-01,        +1.412099837360e-01,        +3.086059224097e-03,        -1.387753415993e-01,        -7.554893293785e-03
 8.40000000e+00,        +1.414213562373e-01,        +1.413279709696e-01,        +3.160061541364e-03,        -1.389276612283e-01,        -2.396731173381e-03
 8.50000000e+00,        +1.414213562373e-01,        +1.414510864943e-01,        +3.225512014794e-03,        -1.388884342140e-01,        +2.762141582728e-03
 8.60000000e+00,        +1.414213562373e-01,        +1.415786999604e-01,        +3.281967222402e-03,        -1.386578398398e-01,        +7.914627866832e-03
 8.70000000e+00,        +1.414213562373e-01,        +1.417101436067e-01,        +3.329030762495e-03,        -1.382363190392e-01,        +1.305364722904e-02
 8.80000000e+00,        +1.414213562373e-01,        +1.418447158134e-01,        +3.366356342354e-03,        -1.376245731490e-01,        +1.817214541069e-02
 8.90000000e+00,        +1.414213562373e-01,        +1.419816849060e-01,        +3.393650595195e-03,        -1.368235623246e-01,        +2.326310377946e-02
 9.00000000e+00,        +1.414213562373e-01,        +1.421202931868e-01,        +3.410675605566e-03,        -1.358345036288e-01,        +2.831954865517e-02
 9.10000000e+00,        +1.414213562373e-01,        +1.422597611742e-01,        +3.417251125045e-03,        -1.346588687998e-01,        +3.333456051648e-02
