        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 9.70000000e+00,        -3.181109806219e+01,        +6.300307181516e+01,        -1.789843957884e-01,        +1.533329466539e+02
 9.80000000e+00,        -3.181300419822e+01,        +6.079912933588e+01,        -1.808861051013e-01,        +1.512058138670e+02
 9.90000000e+00,        -3.182880226689e+01,        +5.859349076619e+01,        -1.827733548490e-01,        +1.490786753919e+02
 1.00000000e+01,        -3.185874101318e+01,        +5.638568453597e+01,        -1.846457586335e-01,        +1.469515231704e+02
 1.01000000e+01,        -3.190311803035e+01,        +5.417520679998e+01,        -1.865030021224e-01,        +1.448243489850e+02
 1.02000000e+01,        -3.196228381076e+01,        +5.196151354589e+01,        -1.883448453743e-01,        +1.426971444939e+02
 1.03000000e+01,        -3.203664664828e+01,        +4.974401146020e+01,        -1.901711247785e-01,        +1.405699012689e+02
 1.04000000e+01,        -3.212667853978e+01,        +4.752204720754e+01,        -1.919817545729e-01,        +1.384426108336e+02
 1.05000000e+01,        -3.223292227192e+01,        +4.529489468895e+01,        -1.937767278989e-01,        +1.363152647041e+02
 1.06000000e+01,        -3.235599992869e+01,        +4.306173972277e+01,        -1.955561173404e-01,        +1.341878544304e+02
 1.07000000e+01,        -3.249662311813e+01,        +4.082166142778e+01,        -1.973200748921e-01,        +1.320603716396e+02
 1.08000000e+01,        -3.265560529911e+01,        +3.857360936439e+01,        -1.990688312973e-01,        +1.299328080786e+02
 1.09000000e+01,        -3.283387669685e+01,        +3.631637518290e+01,        -2.008026947086e-01,        +1.278051556580e+02
 1.10000000e+01,        -3.303250243910e+01,        +3.404855710067e+01,        -2.025220486461e-01,        +1.256774064945e+02
 1.11000000e+01,        -3.325270473765e+01,        +3.176851493121e+01,        -2.042273492674e-01,        +1.235495529520e+02
 1.12000000e+01,        -3.349589020050e+01,        +2.947431253501e+01,        -2.059191220124e-01,        +1.214215876799e+02
 1.13000000e+01,        -3.376368371926e+01,        +2.716364333056e+01,        -2.075979577376e-01,        +1.192935036486e+02
 1.14000000e+01,        -3.405797087578e+01,        +2.483373269960e+01,        -2.092645084880e-01,        +1.171652941807e+02
 1.15000000e+01,        -3.438095151700e+01,        +2.248120842962e+01,        -2.109194830617e-01,        +1.150369529795e+02
 1.16000000e+01,        -3.473520815696e+01,        +2.010192625185e+01,        -2.125636424926e-01,        +1.129084741543e+02
 1.17000000e+01,        -3.512379433471e+01,        +1.769073120189e+01,        -2.141977955157e-01,        +1.107798522427e+02
 1.18000000e+01,        -3.555035023422e+01,        +1.524112550083e+01,        -2.158227940081e-01,        +1.086510822328e+02
 1.19000000e+01,        -3.601925615675e+01,        +1.274479736430e+01,        -2.174395283344e-01,        +1.065221595839e+02
 1.20000000e+01,        -3.653583949379e+01,        +1.019093795545e+01,        -2.190489224934e-01,        +1.043930802466e+02
 1.21000000e+01,        -3.710665880403e+01,        +7.565226889772e+00,        -2.206519289593e-01,        +1.022638406821e+02
 1.22000000e+01,        -3.773990140282e+01,        +4.848283290481e+00,        -2.222495231425e-01,        +1.001344378808e+02
 1.23000000e+01,        -3.844595197486e+01,        +2.013224823391e+00,        -2.238426974357e-01,        +9.800486937856e+01
 1.24000000e+01,        -3.923822530800e+01,        -9.783223901901e-01,        -2.254324548604e-01,        +9.587513326956e+01
 1.25000000e+01,        -4.013441743044e+01,        -4.183031098495e+00,        -2.270198023607e-01,        +9.374522821713e+01
 1.26000000e+01,        -4.115843539491e+01,        -7.688088204129e+00,        -2.286057438188e-01,        +9.161515345972e+01
 1.27000000e+01,        -4.234344418181e+01,        -1.163447564090e+01,        -2.301912728758e-01,        +8.948490881314e+01
 1.28000000e+01,        -4.373672303155e+01,        -1.626467419847e+01,        -2.317773656412e-01,        +8.735449466850e+01
 1.29000000e+01,        -4.540707113917e+01,        -2.202927404975e+01,        -2.333649733719e-01,        +8.522391198569e+01
 1.30000000e+01,        -4.745295680715e+01,        -2.985014866884e+01,        -2.349550151917e-01,        +8.309316228267e+01
 1.31000000e+01,        -4.998678079530e+01,        -4.182930043918e+01,        -2.365483709176e-01,        +8.096224762050e+01
 1.32000000e+01,        -5.290332499223e+01,        -6.296467122581e+01,        -2.381458740484e-01,        +7.883117058423e+01
 1.33000000e+01,        -5.466782645215e+01,        -9.960081303392e+01,        -2.397483049702e-01,        +7.669993425991e+01
 1.34000000e+01,        -5.297925926309e+01,        -1.371064379875e+02,        -2.413563844252e-01,        +7.456854220777e+01
 1.35000000e+01,        -4.995136640943e+01,        -1.591225054884e+02,        -2.429707672907e-01,        +7.243699843166e+01
 1.36000000e+01,        -4.727076663950e+01,        -1.715032528046e+02,        -2.445920367091e-01,        +7.030530734516e+01
 1.37000000e+01,        -4.508342654707e+01,        -1.795086697891e+02,        -2.462206986122e-01,        +6.817347373429e+01
 1.38000000e+01,        -4.327914703782e+01,        +1.746341589014e+02,        -2.478571766767e-01,        +6.604150271714e+01
 1.39000000e+01,        -4.175741555511e+01,        +1.699550140288e+02,        -2.495018077503e-01,        +6.390939970067e+01
 1.40000000e+01,        -4.044768323234e+01,        +1.659830005639e+02,        -2.511548377817e-01,        +6.177717033484e+01
 1.41000000e+01,        -3.930149722164e+01,        +1.624661820942e+02,        -2.528164182893e-01,        +5.964482046433e+01
 1.42000000e+01,        -3.828492424639e+01,        +1.592587665545e+02,        -2.544866033989e-01,        +5.751235607813e+01
 1.43000000e+01,        -3.737354486631e+01,        +1.562709412362e+02,        -2.561653474772e-01,        +5.537978325737e+01
 1.44000000e+01,        -3.654931129927e+01,        +1.534445196987e+02,        -2.578525033881e-01,        +5.324710812146e+01
 1.45000000e+01,        -3.579855978218e+01,        +1.507402198638e+02,        -2.595478213909e-01,        +5.111433677313e+01
 1.46000000e+01,        -3.511072410588e+01,        +1.481306003156e+02,        -2.612509487011e-01,        +4.898147524254e+01
 1.47000000e+01,        -3.447748084968e+01,        +1.455959327554e+02,        -2.629614297258e-01,        +4.684852943078e+01
 1.48000000e+01,        -3.389216667892e+01,        +1.431216836470e+02,        -2.646787069848e-01,        +4.471550505323e+01
 1.49000000e+01,        -3.334937151384e+01,        +1.406969198630e+02,        -2.664021227250e-01,        +4.258240758300e+01
 1.50000000e+01,        -3.284464824381e+01,        +1.383132666003e+02,        -2.681309212279e-01,        +4.044924219493e+01
 1.51000000e+01,        -3.237430148956e+01,        +1.359642070803e+02,        -2.698642518087e-01,        +3.831601371046e+01
 1.52000000e+01,        -3.193523114122e+01,        +1.336446003190e+02,        -2.716011725015e-01,        +3.618272654366e+01
 1.53000000e+01,        -3.152481460382e+01,        +1.313503418290e+02,        -2.733406544178e-01,        +3.404938464899e+01
 1.54000000e+01,        -3.114081688946e+01,        +1.290781202748e+02,        -2.750815867630e-01,        +3.191599147092e+01
 1.55000000e+01,        -3.078132107288e+01,        +1.268252399374e+02,        -2.768227824927e-01,        +2.978254989586e+01
 1.56000000e+01,        -3.044467386304e+01,        +1.245894891951e+02,        -2.785629845820e-01,        +2.764906220686e+01
 1.57000000e+01,        -3.012944255089e+01,        +1.223690417501e+02,        -2.803008728816e-01,        +2.551553004113e+01
 1.58000000e+01,        -2.983438062842e+01,        +1.201623815318e+02,        -2.820350715265e-01,        +2.338195435104e+01
 1.59000000e+01,        -2.955840009565e+01,        +1.179682449756e+02,        -2.837641568625e-01,        +2.124833536861e+01
 1.60000000e+01,        -2.930054898300e+01,        +1.157855762289e+02,        -2.854866658488e-01,        +1.911467257397e+01
 1.61000000e+01,        -2.905999298327e+01,        +1.136134920975e+02,        -2.872011048935e-01,        +1.698096466795e+01
 1.62000000e+01,        -2.883600035384e+01,        +1.114512544249e+02,        -2.889059590757e-01,        +1.484720954910e+01
 1.63000000e+01,        -2.862792944620e+01,        +1.092982482098e+02,        -2.905997017021e-01,        +1.271340429536e+01
 1.64000000e+01,        -2.843521836589e+01,        +1.071539642057e+02,        -2.922808041476e-01,        +1.057954515052e+01
 1.65000000e+01,        -2.825737637584e+01,        +1.050179850659e+02,        -2.939477459225e-01,        +8.445627515721e+00
 1.66000000e+01,        -2.809397673991e+01,        +1.028899743261e+02,        -2.955990249090e-01,        +6.311645946091e+00
 1.67000000e+01,        -2.794465076767e+01,        +1.007696676914e+02,        -2.972331677084e-01,        +4.177594152644e+00
 1.68000000e+01,        -2.780908287139e+01,        +9.865686622169e+01,        -2.988487400364e-01,        +2.043465009515e+00
 1.69000000e+01,        -2.768700648551e+01,        +9.655143110919e+01,        -3.004443571051e-01,        -9.074943338769e-02
 1.70000000e+01,        -2.757820072994e+01,        +9.445327981777e+01,        -3.020186939282e-01,        -2.225057932322e+00
 1.71000000e+01,        -2.748248772377e+01,        +9.236238341429e+01,        -3.035704954853e-01,        -4.359470026229e+00
 1.72000000e+01,        -2.739973047636e+01,        +9.027876497095e+01,        -3.050985866818e-01,        -6.493996007876e+00
 1.73000000e+01,        -2.732983129993e+01,        +8.820249895905e+01,        -3.066018820400e-01,        -8.628646889708e+00
 1.74000000e+01,        -2.727273070214e+01,        +8.613371158993e+01,        -3.080793950598e-01,        -1.076343436449e+01
 1.75000000e+01,        -2.722840673014e+01,        +8.407258209131e+01,        -3.095302471838e-01,        -1.289837076092e+01
 1.76000000e+01,        -2.719687474849e+01,        +8.201934493860e+01,        -3.109536763096e-01,        -1.503346899430e+01
 1.77000000e+01,        -2.717818764451e+01,        +7.997429309195e+01,        -3.123490447864e-01,        -1.716874251260e+01
 1.78000000e+01,        -2.717243646440e+01,        +7.793778232322e+01,        -3.137158468414e-01,        -1.930420523799e+01
 1.79000000e+01,        -2.717975149445e+01,        +7.591023675453e+01,        -3.150537153791e-01,        -2.143987150419e+01
 1.80000000e+01,        -2.720030381187e+01,        +7.389215577287e+01,        -3.163624281026e-01,        -2.357575598999e+01
 1.81000000e+01,        -2.723430734246e+01,        +7.188412253690e+01,        -3.176419129067e-01,        -2.571187364905e+01
 1.82000000e+01,        -2.728202147484e+01,        +6.988681435477e+01,        -3.188922524972e-01,        -2.784823963657e+01
 1.83000000e+01,        -2.734375429718e+01,        +6.790101529034e+01,        -3.201136881940e-01,        -2.998486923301e+01
 1.84000000e+01,        -2.741986653978e+01,        +6.592763145430e+01,        -3.213066228806e-01,        -3.212177776531e+01
 1.85000000e+01,        -2.751077632924e+01,        +6.396770956366e+01,        -3.224716230636e-01,        -3.425898052613e+01
 1.86000000e+01,        -2.761696488615e+01,        +6.202245951808e+01,        -3.236094200153e-01,        -3.639649269132e+01
 1.87000000e+01,        -2.773898333114e+01,        +6.009328195722e+01,        -3.247209099719e-01,        -3.853432923626e+01
 1.88000000e+01,        -2.787746080486e+01,        +5.818180204876e+01,        -3.258071533698e-01,        -4.067250485145e+01
 1.89000000e+01,        -2.803311415845e+01,        +5.628991113814e+01,        -3.268693731024e-01,        -4.281103385787e+01
 1.90000000e+01,        -2.820675953600e+01,        +5.441981840598e+01,        -3.279089517904e-01,        -4.494993012248e+01
 1.91000000e+01,        -2.839932625239e+01,        +5.257411538060e+01,        -3.289274280599e-01,        -4.708920697461e+01
 1.92000000e+01,        -2.861187347537e+01,        +5.075585712079e+01,        -3.299264918309e-01,        -4.922887712340e+01
 1.93000000e+01,        -2.884561035574e+01,        +4.896866523237e+01,        -3.309079786233e-01,        -5.136895257707e+01
 1.94000000e+01,        -2.910192042328e+01,        +4.721685978564e+01,        -3.318738628930e-01,        -5.350944456444e+01
 1.95000000e+01,        -2.938239129056e+01,        +4.550562992118e+01,        -3.328262504192e-01,        -5.565036345916e+01
 1.96000000e+01,        -2.968885099477e+01,        +4.384125687424e+01,        -3.337673697655e-01,        -5.779171870713e+01
 1.97000000e+01,        -3.002341267560e+01,        +4.223140894494e+01,        -3.346995628476e-01,        -5.993351875774e+01
 1.98000000e+01,        -3.038852974826e+01,        +4.068553659900e+01,        -3.356252746447e-01,        -6.207577099923e+01
 1.99000000e+01,        -3.078706429035e+01,        +3.921540902823e+01,        -3.365470420951e-01,        -6.421848169877e+01
 2.00000000e+01,        -3.122237199184e+01,        +3.783585380793e+01,        -3.374674822281e-01,        -6.636165594755e+01
