"hbfrequency";"Pave";"r n_drain.Vb";"i n_drain.Vb"
+0.00000000000000000000e+000;-1.10000000000000000000e+001;+4.80000000000000000000e+001;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.10000000000000000000e+001;-6.04636539735050817512e+001;-1.08121108878450231886e-004
+4.00000000000000000000e+009;-1.10000000000000000000e+001;+1.92497412865856283304e+001;+3.65628130573202007208e-005
+6.00000000000000000000e+009;-1.10000000000000000000e+001;+6.57828112342273474411e+000;+5.30409602258504118380e-005
+8.00000000000000000000e+009;-1.10000000000000000000e+001;-6.83307589453765107379e+000;-1.35678455775133099959e-013
+0.00000000000000000000e+000;-1.00000000000000000000e+001;+4.80000000000000000000e+001;+0.00000000000000000000e+000
+2.00000000000000000000e+009;-1.00000000000000000000e+001;-6.41466293279436428065e+001;-1.02841702183564874355e-004
+4.00000000000000000000e+009;-1.00000000000000000000e+001;+2.43665912277885503556e+001;+5.85525951885557872814e-005
+6.00000000000000000000e+009;-1.00000000000000000000e+001;+7.21806201262367519433e+000;+1.21802962185247357708e-005
+8.00000000000000000000e+009;-1.00000000000000000000e+001;-9.36917984327659425503e+000;-4.75450852390178003951e-007
