# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Generated by circuitRF Loadpull engine (Phase 4b-1).
# Circuit: hero3.cnl  |  f0=2.000 GHz  K=4
# Grid: 20 points  Z0=50 Ω
GridIdx; GammaRe; GammaIm; ZRe; ZIm; PavlDbm; IsTickle; Converged; Iterations; PavlW; PinDelivW; PoutW; GtDb; GpDb; BiasVLoad; BiasILoad; BiasVSrc; BiasISrc; StopReason
1; 0.2; 0; 75; 0; -7; 0; 1; 3; 0.0001995262315; 0.0001773566502; 0.002609618033; 11.165769; 11.677295; 48; -0.049448976; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -6; 0; 1; 3; 0.0002511886432; 0.0002232787939; 0.003290252882; 11.172293; 11.683818; 48; -0.049536061; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -5; 0; 1; 3; 0.000316227766; 0.0002810913476; 0.004150015539; 11.180497; 11.692022; 48; -0.049645753; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -4; 0; 1; 3; 0.0003981071706; 0.0003538730405; 0.005236985157; 11.190813; 11.702339; 48; -0.049783941; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -3; 0; 1; 3; 0.0005011872336; 0.0004454997632; 0.006612688774; 11.203781; 11.715306; 48; -0.049958056; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -2; 0; 1; 3; 0.0006309573445; 0.0005608509728; 0.008356173091; 11.220074; 11.731599; 48; -0.050177487; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -1; 0; 1; 3; 0.0007943282347; 0.0007060695419; 0.01056948087; 11.240537; 11.752062; 48; -0.050454102; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 0; 0; 1; 3; 0.001; 0.0008888888888; 0.01338510576; 11.266218; 11.777743; 48; -0.050802918; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 1; 0; 1; 3; 0.001258925412; 0.00111904481; 0.01697627579; 11.298424; 11.809949; 48; -0.051242964; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 2; 0; 1; 3; 0.001584893192; 0.001408793949; 0.02157134315; 11.338772; 11.850297; 48; -0.051798384; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 3; 0; 1; 3; 0.001995262315; 0.001773566502; 0.02747422581; 11.389255; 11.90078; 48; -0.052499866; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 4; 0; 1; 3; 0.002511886432; 0.002232787939; 0.03509390046; 11.452316; 11.963842; 48; -0.053386497; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 5; 0; 1; 3; 0.00316227766; 0.002810913476; 0.04498762306; 11.53093; 12.042456; 48; -0.05450818; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 6; 0; 1; 3; 0.003981071706; 0.003538730405; 0.05792523733; 11.628678; 12.140203; 48; -0.05592879; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 7; 0; 1; 3; 0.005011872336; 0.004454997632; 0.07498624159; 11.749816; 12.261341; 48; -0.057730306; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 8; 0; 1; 3; 0.006309573445; 0.005608509728; 0.09770818951; 11.89931; 12.410835; 48; -0.060018215; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 9; 0; 1; 3; 0.007943282347; 0.007060695419; 0.1283159418; 12.082806; 12.594331; 48; -0.062928519; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 10; 0; 1; 3; 0.01; 0.008888888888; 0.1700781582; 12.306485; 12.818011; 48; -0.066636671; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 11; 0; 1; 4; 0.01258925412; 0.0111904481; 0.2278623217; 12.576725; 13.08825; 48; -0.071368561; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 12; 0; 1; 4; 0.01584893192; 0.01408793949; 0.3089884783; 12.899423; 13.410948; 48; -0.077413066; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 13; 0; 1; 4; 0.01995262315; 0.01773566502; 0.424514036; 13.278921; 13.790446; 48; -0.085134179; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 14; 0; 1; 4; 0.02511886432; 0.02232787939; 0.5910514074; 13.716253; 14.227778; 48; -0.094977512; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 15; 0; 1; 4; 0.0316227766; 0.02810913476; 0.8330448505; 14.206684; 14.718209; 48; -0.10746019; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 16; 0; 1; 4; 0.03981071706; 0.03538730405; 1.184842902; 14.736608; 15.248133; 48; -0.12312448; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 17; 0; 1; 4; 0.05011872336; 0.04454997632; 1.690604235; 15.28042; 15.791945; 48; -0.14242846; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 18; 0; 1; 4; 0.06309573445; 0.05608509728; 2.398195837; 15.798846; 16.310372; 48; -0.16555523; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 19; 0; 1; 4; 0.07943282347; 0.07060695419; 3.342766119; 16.24106; 16.752585; 48; -0.19217057; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 20; 0; 1; 4; 0.1; 0.08888888888; 4.521152044; 16.552491; 17.064016; 48; -0.2212512; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 21; 0; 1; 4; 0.1258925412; 0.111904481; 5.87100879; 16.687127; 17.198653; 48; -0.25116055; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 22; 0; 1; 4; 0.1584893192; 0.1408793949; 7.274732136; 16.61817; 17.129695; 48; -0.28002009; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 23; 0; 1; 5; 0.1995262315; 0.1773566502; 8.590537749; 16.340204; 16.851729; 48; -0.30616674; -3.0499999; 0.060999999; Compression
