        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 9.50000000e+00,        +1.414213562373e-01,        +1.438567444413e-01,        +4.884004095542e-03,        -1.257175406458e-01,        +5.775899898789e-02
 9.60000000e+00,        +1.414213562373e-01,        +1.441215563596e-01,        +4.945425931508e-03,        -1.234289037358e-01,        +6.241820133809e-02
 9.70000000e+00,        +1.414213562373e-01,        +1.443899071004e-01,        +4.986381737686e-03,        -1.209681891025e-01,        +6.698667023783e-02
 9.80000000e+00,        +1.414213562373e-01,        +1.446602063903e-01,        +5.006618056942e-03,        -1.183390251455e-01,        +7.145811376027e-02
 9.90000000e+00,        +1.414213562373e-01,        +1.449308468144e-01,        +5.006005024366e-03,        -1.155452634181e-01,        +7.582638951467e-02
 1.00000000e+01,        +1.414213562373e-01,        +1.452002134017e-01,        +4.984537413640e-03,        -1.125909719409e-01,        +8.008551176883e-02
 1.01000000e+01,        +1.414213562373e-01,        +1.454666932593e-01,        +4.942334944665e-03,        -1.094804283852e-01,        +8.422965821613e-02
 1.02000000e+01,        +1.414213562373e-01,        +1.457286851996e-01,        +4.879641852535e-03,        -1.062181131480e-01,        +8.825317639787e-02
 1.03000000e+01,        +1.414213562373e-01,        +1.459846093043e-01,        +4.796825722090e-03,        -1.028087023441e-01,        +9.215058979380e-02
 1.04000000e+01,        +1.414213562373e-01,        +1.462329163713e-01,        +4.694375596311e-03,        -9.925706073162e-02,        +9.591660359538e-02
 1.05000000e+01,        +1.414213562373e-01,        +1.464720971894e-01,        +4.572899370738e-03,        -9.556823459003e-02,        +9.954611017778e-02
 1.06000000e+01,        +1.414213562373e-01,        +1.467006915901e-01,        +4.433120489834e-03,        -9.174744456420e-02,        +1.030341942877e-01
 1.07000000e+01,        +1.414213562373e-01,        +1.469172972232e-01,        +4.275873964877e-03,        -8.780007848604e-02,        +1.063761379651e-01
 1.08000000e+01,        +1.414213562373e-01,        +1.471205780096e-01,        +4.102101736403e-03,        -8.373168418244e-02,        +1.095674252168e-01
 1.09000000e+01,        +1.414213562373e-01,        +1.473092722218e-01,        +3.912847407553e-03,        -7.954796227533e-02,        +1.126037464609e-01
