        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 7.80000000e+00,        +2.936264091877e-11,        +2.941010201054e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.90000000e+00,        +2.933694981962e-11,        +2.942104436885e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e+00,        +2.931161452330e-11,        +2.943122237424e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.10000000e+00,        +2.928673243922e-11,        +2.944055795372e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.20000000e+00,        +2.926239722808e-11,        +2.944897962347e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.30000000e+00,        +2.923869840727e-11,        +2.945642277013e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.40000000e+00,        +2.921572097992e-11,        +2.946282989016e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.50000000e+00,        +2.919354508906e-11,        +2.946815078647e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.60000000e+00,        +2.917224569868e-11,        +2.947234272166e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.70000000e+00,        +2.915189230281e-11,        +2.947537052768e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.80000000e+00,        +2.913254866399e-11,        +2.947720667167e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.90000000e+00,        +2.911427258202e-11,        +2.947783127839e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.00000000e+00,        +2.909711569397e-11,        +2.947723210968e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.10000000e+00,        +2.908112330587e-11,        +2.947540450165e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.20000000e+00,        +2.906633425687e-11,        +2.947235126064e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.30000000e+00,        +2.905278081590e-11,        +2.946808251921e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.40000000e+00,        +2.904048861102e-11,        +2.946261555356e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.50000000e+00,        +2.902947659155e-11,        +2.945597456400e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.60000000e+00,        +2.901975702257e-11,        +2.944819042037e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.70000000e+00,        +2.901133551149e-11,        +2.943930037440e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.80000000e+00,        +2.900421106622e-11,        +2.942934774109e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.90000000e+00,        +2.899837618418e-11,        +2.941838155153e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+01,        +2.899381697133e-11,        +2.940645617939e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.01000000e+01,        +2.899051329041e-11,        +2.939363094377e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.02000000e+01,        +2.898843893721e-11,        +2.937996969075e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.03000000e+01,        +2.898756184371e-11,        +2.936554035657e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+01,        +2.898784430694e-11,        +2.935041451480e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.05000000e+01,        +2.898924324208e-11,        +2.933466691052e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.06000000e+01,        +2.899171045847e-11,        +2.931837498394e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.07000000e+01,        +2.899519295697e-11,        +2.930161838644e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.08000000e+01,        +2.899963324708e-11,        +2.928447849157e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.09000000e+01,        +2.900496968235e-11,        +2.926703790369e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+01,        +2.901113681214e-11,        +2.924937996706e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.11000000e+01,        +2.901806574835e-11,        +2.923158827773e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+01,        +2.902568454510e-11,        +2.921374620091e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.13000000e+01,        +2.903391858969e-11,        +2.919593639628e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.14000000e+01,        +2.904269100312e-11,        +2.917824035357e-11,        +0.000000000000e+00,        +0.000000000000e+00
