        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 9.40000000e+00,        -2.857024215243e+01,        +6.562798767437e+01,        -1.883103126432e-01,        +1.574746447812e+02
 9.50000000e+00,        -2.827038052923e+01,        +6.349705369509e+01,        -1.906532724991e-01,        +1.553243087758e+02
 9.60000000e+00,        -2.799309269282e+01,        +6.136548147723e+01,        -1.929854101838e-01,        +1.531742005272e+02
 9.70000000e+00,        -2.773705663860e+01,        +5.923332270918e+01,        -1.953037002251e-01,        +1.510243143301e+02
 9.80000000e+00,        -2.750112521656e+01,        +5.710061574827e+01,        -1.976051611940e-01,        +1.488746429676e+02
 9.90000000e+00,        -2.728430081844e+01,        +5.496738748633e+01,        -1.998868737600e-01,        +1.467251777324e+02
 1.00000000e+01,        -2.708571485926e+01,        +5.283365478684e+01,        -2.021459984748e-01,        +1.445759084583e+02
 1.01000000e+01,        -2.690461104391e+01,        +5.069942559510e+01,        -2.043797931744e-01,        +1.424268235606e+02
 1.02000000e+01,        -2.674033165483e+01,        +4.856469979454e+01,        -2.065856298887e-01,        +1.402779100859e+02
 1.03000000e+01,        -2.659230627597e+01,        +4.642946986212e+01,        -2.087610111517e-01,        +1.381291537701e+02
 1.04000000e+01,        -2.646004250274e+01,        +4.429372136101e+01,        -2.109035856100e-01,        +1.359805391055e+02
 1.05000000e+01,        -2.634311828844e+01,        +4.215743329817e+01,        -2.130111628287e-01,        +1.338320494153e+02
 1.06000000e+01,        -2.624117565491e+01,        +4.002057836592e+01,        -2.150817272010e-01,        +1.316836669361e+02
 1.07000000e+01,        -2.615391555461e+01,        +3.788312308051e+01,        -2.171134508718e-01,        +1.295353729082e+02
 1.08000000e+01,        -2.608109371809e+01,        +3.574502782521e+01,        -2.191047055906e-01,        +1.273871476709e+02
 1.09000000e+01,        -2.602251735794e+01,        +3.360624680155e+01,        -2.210540734158e-01,        +1.252389707661e+02
 1.10000000e+01,        -2.597804263036e+01,        +3.146672788811e+01,        -2.229603562005e-01,        +1.230908210454e+02
 1.11000000e+01,        -2.594757278042e+01,        +2.932641240271e+01,        -2.248225837930e-01,        +1.209426767835e+02
 1.12000000e+01,        -2.593105691793e+01,        +2.718523476055e+01,        -2.266400208963e-01,        +1.187945157952e+02
 1.13000000e+01,        -2.592848938981e+01,        +2.504312201665e+01,        -2.284121725363e-01,        +1.166463155560e+02
 1.14000000e+01,        -2.593990973124e+01,        +2.289999327710e+01,        -2.301387880978e-01,        +1.144980533258e+02
 1.15000000e+01,        -2.596540319414e+01,        +2.075575895842e+01,        -2.318198638931e-01,        +1.123497062746e+02
 1.16000000e+01,        -2.600510186741e+01,        +1.861031986900e+01,        -2.334556442404e-01,        +1.102012516092e+02
 1.17000000e+01,        -2.605918641998e+01,        +1.646356607900e+01,        -2.350466210322e-01,        +1.080526667009e+02
 1.18000000e+01,        -2.612788851582e+01,        +1.431537553685e+01,        -2.365935317892e-01,        +1.059039292133e+02
 1.19000000e+01,        -2.621149397070e+01,        +1.216561237897e+01,        -2.380973561976e-01,        +1.037550172282e+02
 1.20000000e+01,        -2.631034674429e+01,        +1.001412486532e+01,        -2.395593111417e-01,        +1.016059093708e+02
 1.21000000e+01,        -2.642485389039e+01,        +7.860742855125e+00,        -2.409808442491e-01,        +9.945658493189e+01
 1.22000000e+01,        -2.655549162358e+01,        +5.705274712821e+00,        -2.423636259771e-01,        +9.730702398654e+01
 1.23000000e+01,        -2.670281270500e+01,        +3.547503502888e+00,        -2.437095402765e-01,        +9.515720750944e+01
 1.24000000e+01,        -2.686745540697e+01,        +1.387182289742e+00,        -2.450206738773e-01,        +9.300711748495e+01
 1.25000000e+01,        -2.705015438927e+01,        -7.759716979858e-01,        -2.462993042522e-01,        +9.085673701188e+01
 1.26000000e+01,        -2.725175391557e+01,        -2.942284357058e+00,        -2.475478863184e-01,        +8.870605040210e+01
 1.27000000e+01,        -2.747322396515e+01,        -5.112133878243e+00,        -2.487690379492e-01,        +8.655504327231e+01
 1.28000000e+01,        -2.771567996439e+01,        -7.285962367976e+00,        -2.499655243750e-01,        +8.440370262836e+01
 1.29000000e+01,        -2.798040709235e+01,        -9.464290707493e+00,        -2.511402415579e-01,        +8.225201694150e+01
 1.30000000e+01,        -2.826889043011e+01,        -1.164773773513e+01,        -2.522961986358e-01,        +8.009997621615e+01
 1.31000000e+01,        -2.858285266276e+01,        -1.383704527547e+01,        -2.534364995352e-01,        +7.794757204840e+01
 1.32000000e+01,        -2.892430166327e+01,        -1.603311118654e+01,        -2.545643238594e-01,        +7.579479767515e+01
 1.33000000e+01,        -2.929559117848e+01,        -1.823703357051e+01,        -2.556829071659e-01,        +7.364164801319e+01
 1.34000000e+01,        -2.969949913852e+01,        -2.045017078867e+01,        -2.567955207496e-01,        +7.148811968801e+01
 1.35000000e+01,        -3.013933004907e+01,        -2.267422426719e+01,        -2.579054510549e-01,        +6.933421105209e+01
 1.36000000e+01,        -3.061905087316e+01,        -2.491135484886e+01,        -2.590159788436e-01,        +6.717992219234e+01
 1.37000000e+01,        -3.114347439898e+01,        -2.716434966697e+01,        -2.601303582476e-01,        +6.502525492665e+01
 1.38000000e+01,        -3.171851142798e+01,        -2.943686709974e+01,        -2.612517958379e-01,        +6.287021278936e+01
 1.39000000e+01,        -3.235152520324e+01,        -3.173380599140e+01,        -2.623834298457e-01,        +6.071480100575e+01
 1.40000000e+01,        -3.305184208697e+01,        -3.406187941620e+01,        -2.635283096673e-01,        +5.855902645544e+01
 1.41000000e+01,        -3.383150896012e+01,        -3.643053851565e+01,        -2.646893757891e-01,        +5.640289762502e+01
 1.42000000e+01,        -3.470645537063e+01,        -3.885352355963e+01,        -2.658694402656e-01,        +5.424642454994e+01
 1.43000000e+01,        -3.569835040852e+01,        -4.135160182608e+01,        -2.670711678807e-01,        +5.208961874606e+01
 1.44000000e+01,        -3.683771882413e+01,        -4.395770489860e+01,        -2.682970581225e-01,        +4.993249313109e+01
 1.45000000e+01,        -3.816949763724e+01,        -4.672733266131e+01,        -2.695494280953e-01,        +4.777506193637e+01
 1.46000000e+01,        -3.976373833074e+01,        -4.976179965467e+01,        -2.708303964889e-01,        +4.561734060957e+01
 1.47000000e+01,        -4.173841066158e+01,        -5.326750191102e+01,        -2.721418687201e-01,        +4.345934570868e+01
