        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.31000000e+01,        -5.133524677490e+01,        -7.040298578884e+01,        -9.139387070571e-02,        +8.146767738975e+01
 1.32000000e+01,        -5.211769060277e+01,        -1.002483233942e+02,        -9.214880070772e-02,        +7.933858530236e+01
 1.33000000e+01,        -5.087943209693e+01,        -1.289515103592e+02,        -9.290962965690e-02,        +7.720933198913e+01
 1.34000000e+01,        -4.867925768698e+01,        -1.488297186941e+02,        -9.367702088817e-02,        +7.507992114702e+01
 1.35000000e+01,        -4.649586590892e+01,        -1.616829505389e+02,        -9.445157204329e-02,        +7.295035689619e+01
 1.36000000e+01,        -4.458207259269e+01,        -1.705446245807e+02,        -9.523380941513e-02,        +7.082064374677e+01
 1.37000000e+01,        -4.293728304924e+01,        -1.771748713213e+02,        -9.602418265989e-02,        +6.869078656220e+01
 1.38000000e+01,        -4.151516275538e+01,        +1.775135342546e+02,        -9.682305991867e-02,        +6.656079051977e+01
 1.39000000e+01,        -4.027132777101e+01,        +1.730307315945e+02,        -9.763072338796e-02,        +6.443066106813e+01
 1.40000000e+01,        -3.917073449990e+01,        +1.690977402820e+02,        -9.844736537646e-02,        +6.230040388224e+01
 1.41000000e+01,        -3.818679972404e+01,        +1.655462752668e+02,        -9.927308488318e-02,        +6.017002481598e+01
 1.42000000e+01,        -3.729938513595e+01,        +1.622696049705e+02,        -1.001078847291e-01,        +5.803952985255e+01
 1.43000000e+01,        -3.649307010389e+01,        +1.591970912211e+02,        -1.009516692719e-01,        +5.590892505306e+01
 1.44000000e+01,        -3.575587609829e+01,        +1.562802667851e+02,        -1.018042427296e-01,        +5.377821650357e+01
 1.45000000e+01,        -3.507835947581e+01,        +1.534848410641e+02,        -1.026653081366e-01,        +5.164741026083e+01
 1.46000000e+01,        -3.445296909550e+01,        +1.507859079965e+02,        -1.035344669494e-01,        +4.951651229719e+01
 1.47000000e+01,        -3.387358788966e+01,        +1.481649633328e+02,        -1.044112193198e-01,        +4.738552844481e+01
