        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.55000000e+01,        +2.917914676556e-11,        +2.941971745241e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.56000000e+01,        +2.917025314570e-11,        +2.942594422665e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.57000000e+01,        +2.916155550022e-11,        +2.943198091737e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.58000000e+01,        +2.915310242419e-11,        +2.943779819967e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.59000000e+01,        +2.914494159518e-11,        +2.944336856396e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+01,        +2.913711951568e-11,        +2.944866646367e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.61000000e+01,        +2.912968126099e-11,        +2.945366845054e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.62000000e+01,        +2.912267023367e-11,        +2.945835329685e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.63000000e+01,        +2.911612792589e-11,        +2.946270210378e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.64000000e+01,        +2.911009369107e-11,        +2.946669839553e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.65000000e+01,        +2.910460452579e-11,        +2.947032819859e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.66000000e+01,        +2.909969486330e-11,        +2.947358010589e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.67000000e+01,        +2.909539637957e-11,        +2.947644532546e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.68000000e+01,        +2.909173781303e-11,        +2.947891771349e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.69000000e+01,        +2.908874479883e-11,        +2.948099379169e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+01,        +2.908643971856e-11,        +2.948267274884e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.71000000e+01,        +2.908484156621e-11,        +2.948395642673e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.72000000e+01,        +2.908396583100e-11,        +2.948484929067e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.73000000e+01,        +2.908382439793e-11,        +2.948535838474e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.74000000e+01,        +2.908442546629e-11,        +2.948549327212e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.75000000e+01,        +2.908577348688e-11,        +2.948526596110e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.76000000e+01,        +2.908786911806e-11,        +2.948469081700e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.77000000e+01,        +2.909070920112e-11,        +2.948378446085e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.78000000e+01,        +2.909428675504e-11,        +2.948256565521e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.79000000e+01,        +2.909859099075e-11,        +2.948105517806e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+01,        +2.910360734494e-11,        +2.947927568541e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.81000000e+01,        +2.910931753337e-11,        +2.947725156346e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.82000000e+01,        +2.911569962339e-11,        +2.947500877127e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.83000000e+01,        +2.912272812559e-11,        +2.947257467469e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.84000000e+01,        +2.913037410407e-11,        +2.946997787280e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.85000000e+01,        +2.913860530506e-11,        +2.946724801752e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.86000000e+01,        +2.914738630324e-11,        +2.946441562772e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.87000000e+01,        +2.915667866524e-11,        +2.946151189876e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.88000000e+01,        +2.916644112967e-11,        +2.945856850851e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.89000000e+01,        +2.917662980278e-11,        +2.945561742103e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+01,        +2.918719836912e-11,        +2.945269068908e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.91000000e+01,        +2.919809831607e-11,        +2.944982025636e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.92000000e+01,        +2.920927917142e-11,        +2.944703776085e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.93000000e+01,        +2.922068875282e-11,        +2.944437434024e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.94000000e+01,        +2.923227342803e-11,        +2.944186044063e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.95000000e+01,        +2.924397838478e-11,        +2.943952562942e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.96000000e+01,        +2.925574790886e-11,        +2.943739841379e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.97000000e+01,        +2.926752566931e-11,        +2.943550606550e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.98000000e+01,        +2.927925500917e-11,        +2.943387445319e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.99000000e+01,        +2.929087924042e-11,        +2.943252788318e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+01,        +2.930234194162e-11,        +2.943148894963e-11,        +0.000000000000e+00,        +0.000000000000e+00
