        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 9.60000000e+00,        +1.414213562373e-01,        +1.428728957494e-01,        +3.249828273245e-03,        -1.281631383991e-01,        +5.734994567028e-02
 9.70000000e+00,        +1.414213562373e-01,        +1.429968801204e-01,        +3.188490594998e-03,        -1.259339227873e-01,        +6.205527438863e-02
 9.80000000e+00,        +1.414213562373e-01,        +1.431158956577e-01,        +3.117479222424e-03,        -1.235322116120e-01,        +6.667429391031e-02
 9.90000000e+00,        +1.414213562373e-01,        +1.432291770342e-01,        +3.037111641689e-03,        -1.209613312971e-01,        +7.120070915618e-02
 1.00000000e+01,        +1.414213562373e-01,        +1.433359793945e-01,        +2.947765852213e-03,        -1.182248350800e-01,        +7.562835232512e-02
 1.01000000e+01,        +1.414213562373e-01,        +1.434355831332e-01,        +2.849879028950e-03,        -1.153264982161e-01,        +7.995119075806e-02
 1.02000000e+01,        +1.414213562373e-01,        +1.435272985826e-01,        +2.743945809368e-03,        -1.122703129464e-01,        +8.416333462838e-02
 1.03000000e+01,        +1.414213562373e-01,        +1.436104705836e-01,        +2.630516211121e-03,        -1.090604832305e-01,        +8.825904445568e-02
 1.04000000e+01,        +1.414213562373e-01,        +1.436844829098e-01,        +2.510193188572e-03,        -1.057014192536e-01,        +9.223273843973e-02
 1.05000000e+01,        +1.414213562373e-01,        +1.437487625167e-01,        +2.383629838593e-03,        -1.021977317090e-01,        +9.607899961167e-02
 1.06000000e+01,        +1.414213562373e-01,        +1.438027835889e-01,        +2.251526268161e-03,        -9.855422586214e-02,        +9.979258279930e-02
 1.07000000e+01,        +1.414213562373e-01,        +1.438460713579e-01,        +2.114626138429e-03,        -9.477589539897e-02,        +1.033684214033e-01
 1.08000000e+01,        +1.414213562373e-01,        +1.438782056662e-01,        +1.973712901972e-03,        -9.086791606197e-02,        +1.068016339809e-01
 1.09000000e+01,        +1.414213562373e-01,        +1.438988242519e-01,        +1.829605751892e-03,        -8.683563907649e-02,        +1.100875306325e-01
 1.10000000e+01,        +1.414213562373e-01,        +1.439076257324e-01,        +1.683155303354e-03,        -8.268458436994e-02,        +1.132216191888e-01
 1.11000000e+01,        +1.414213562373e-01,        +1.439043722643e-01,        +1.535239029946e-03,        -7.842043358616e-02,        +1.161996111911e-01
 1.12000000e+01,        +1.414213562373e-01,        +1.438888918604e-01,        +1.386756478941e-03,        -7.404902289681e-02,        +1.190174276620e-01
 1.13000000e+01,        +1.414213562373e-01,        +1.438610803457e-01,        +1.238624291119e-03,        -6.957633561199e-02,        +1.216712046593e-01
 1.14000000e+01,        +1.414213562373e-01,        +1.438209029358e-01,        +1.091771052290e-03,        -6.500849459189e-02,        +1.241572986069e-01
 1.15000000e+01,        +1.414213562373e-01,        +1.437683954234e-01,        +9.471320049902e-04,        -6.035175446178e-02,        +1.264722913967e-01
 1.16000000e+01,        +1.414213562373e-01,        +1.437036649622e-01,        +8.056436499902e-04,        -5.561249363255e-02,        +1.286129952518e-01
 1.17000000e+01,        +1.414213562373e-01,        +1.436268904357e-01,        +6.682382683273e-04,        -5.079720612955e-02,        +1.305764573450e-01
